date,store,item,sales
2019/2/4,1,1,0.00388147
2019/2/5,1,1,0.00397432
2019/2/6,1,1,0.002911517
2019/2/7,1,1,0.002802086
2019/2/8,1,1,0.00717931
2019/2/9,1,1,0.007174336
2019/2/10,1,1,0.007466151
2019/2/11,1,1,0.006683557
2019/2/12,1,1,0.006686873
2019/2/13,1,1,0.006346975
2019/2/14,1,1,0.006033605
2019/2/15,1,1,0.006234228
2019/2/16,1,1,0.006434851
2019/2/17,1,1,0.007220761
2019/2/18,1,1,0.011064096
2019/2/19,1,1,0.011367518
2019/2/20,1,1,0.012330839
2019/2/21,1,1,0.01173726
2019/2/22,1,1,0.01221146
2019/2/23,1,1,0.014784737
2019/2/24,1,1,0.008729577
2019/2/25,1,1,0.010031138
2019/2/26,1,1,0.009643157
2019/2/27,1,1,0.009714452
2019/2/28,1,1,0.009747613
2019/3/1,1,1,0.009835489
2019/3/2,1,1,0.009855386
2019/3/3,1,1,0.009629892
2019/3/4,1,1,0.008077968
2019/3/5,1,1,0.010420777
2019/3/6,1,1,0.010516944
2019/3/7,1,1,0.010717566
2019/3/8,1,1,0.010565027
2019/3/9,1,1,0.011864929
2019/3/10,1,1,0.01138244
2019/3/11,1,1,0.01063798
2019/3/12,1,1,0.010898293
2019/3/13,1,1,0.010551762
2019/3/14,1,1,0.01078223
2019/3/15,1,1,0.011533322
2019/3/16,1,1,0.012894572
2019/3/17,1,1,0.01248172
2019/3/18,1,1,0.01262597
2019/3/19,1,1,0.013070324
2019/3/20,1,1,0.01347157
2019/3/21,1,1,0.012493326
2019/3/22,1,1,0.012629286
2019/3/23,1,1,0.012829908
2019/3/24,1,1,0.012700581
2019/3/25,1,1,0.011743893
2019/3/26,1,1,0.011840059
2019/3/27,1,1,0.01347986
2019/3/28,1,1,0.013212915
2019/3/29,1,1,0.014482974
2019/3/30,1,1,0.014642145
2019/3/31,1,1,0.014484632
2019/4/1,1,1,0.015194272
2019/4/2,1,1,0.027035989
2019/4/3,1,1,0.028849884
2019/4/4,1,1,0.027750604
2019/4/5,1,1,0.029537971
2019/4/6,1,1,0.030134865
2019/4/7,1,1,0.032247207
2019/4/8,1,1,0.033434363
2019/4/9,1,1,0.031995185
2019/4/10,1,1,0.034472296
2019/4/11,1,1,0.029743568
2019/4/12,1,1,0.030267508
2019/4/13,1,1,0.030227715
2019/4/14,1,1,0.031603888
2019/4/15,1,1,0.029904397
2019/4/16,1,1,0.032368244
2019/4/17,1,1,0.032822547
2019/4/18,1,1,0.033757681
2019/4/19,1,1,0.033364726
2019/4/20,1,1,0.034180481
2019/4/21,1,1,0.033406177
2019/4/22,1,1,0.035117273
2019/4/23,1,1,0.03785138
2019/4/24,1,1,0.036259662
2019/4/25,1,1,0.032835811
2019/4/26,1,1,0.034314782
2019/4/27,1,1,0.033777577
2019/4/28,1,1,0.034381104
2019/4/29,1,1,0.033265243
2019/4/30,1,1,0.034687841
2019/5/1,1,1,0.035739038
2019/5/2,1,1,0.037556249
2019/5/3,1,1,0.042082696
2019/5/4,1,1,0.0431455
2019/5/5,1,1,0.042216998
2019/5/6,1,1,0.041722902
2019/5/7,1,1,0.043453895
2019/5/8,1,1,0.045788414
2019/5/9,1,1,0.049124389
2019/5/10,1,1,0.052349276
2019/5/11,1,1,0.065684886
2019/5/12,1,1,0.062277615
2019/5/13,1,1,0.075893434
2019/5/14,1,1,0.079020497
2019/5/15,1,1,0.081839164
2019/5/16,1,1,0.076984424
2019/5/17,1,1,0.068490289
2019/5/18,1,1,0.066883649
2019/5/19,1,1,0.081716469
2019/5/20,1,1,0.078534691
2019/5/21,1,1,0.077954377
2019/5/22,1,1,0.073069794
2019/5/23,1,1,0.076657791
2019/5/24,1,1,0.078614277
2019/5/25,1,1,0.079564334
2019/5/26,1,1,0.089558995
2019/5/27,1,1,0.091712788
2019/5/28,1,1,0.090986567
2019/5/29,1,1,0.08985081
2019/5/30,1,1,0.08361824
2019/5/31,1,1,0.088366864
2019/6/1,1,1,0.088157951
2019/6/2,1,1,0.091190505
2019/6/3,1,1,0.081179264
2019/6/4,1,1,0.073895497
2019/6/5,1,1,0.075447422
2019/6/6,1,1,0.075543588
2019/6/7,1,1,0.078864641
2019/6/8,1,1,0.077475204
2019/6/9,1,1,0.073058187
2019/6/10,1,1,0.07890775
2019/6/11,1,1,0.077253027
2019/6/12,1,1,0.081316881
2019/6/13,1,1,0.082741137
2019/6/14,1,1,0.089988427
2019/6/15,1,1,0.0925816
2019/6/16,1,1,0.095068659
